operating_hours,temperature_c,vibration_level_mm_per_s,load_percentage,maintenance_due_in_hours
860.0,70.73,0.44,90.4,4322.14
3772.0,93.18,4.8,58.89,2935.14
3092.0,96.15,2.44,75.73,3208.6
466.0,73.29,4.49,90.41,4473.47
4426.0,74.04,1.68,62.69,2658.67
3444.0,95.92,0.71,62.29,3117.57
3171.0,79.35,2.42,70.14,3230.86
2919.0,51.64,0.66,94.73,3306.97
130.0,95.64,2.48,50.02,4818.8
1685.0,62.41,4.61,95.07,3861.24
769.0,78.88,2.65,57.69,4492.77
2391.0,58.28,3.12,99.5,3509.22
2433.0,51.69,0.87,97.74,3532.73
1184.0,65.57,0.31,74.73,4250.04
4555.0,89.02,0.64,75.64,2509.84
3385.0,63.88,3.03,74.08,3129.03
4117.0,61.0,0.57,81.77,2754.97
4843.0,60.63,1.94,54.54,2515.13
2904.0,75.76,2.8,51.63,3460.37
474.0,98.78,2.0,52.89,4630.98
1082.0,72.95,0.9,72.22,4292.99
2558.0,77.87,1.44,63.78,3581.97
2047.0,93.03,4.65,81.1,3688.44
2747.0,76.75,3.41,99.62,3290.76
975.0,59.22,2.53,69.32,4372.17
1806.0,64.98,0.16,78.69,3921.96
189.0,65.5,4.96,70.78,4720.98
2734.0,69.87,3.39,92.36,3347.55
3005.0,71.34,1.65,95.11,3212.73
4658.0,89.99,4.41,93.87,2327.6
1899.0,67.47,1.37,98.72,3758.31
1267.0,73.41,2.77,51.38,4285.14
1528.0,81.25,3.22,91.99,3931.38
3202.0,68.89,1.18,87.59,3161.45
3556.0,91.83,4.89,61.43,3032.23
3890.0,79.37,3.77,97.82,2719.51
646.0,64.7,2.83,57.41,4582.22
2888.0,85.7,0.98,83.98,3304.86
2435.0,76.38,0.36,61.24,3669.87
600.0,76.72,1.67,71.57,4522.03
2363.0,74.05,3.79,85.96,3552.7
2061.0,74.85,1.42,78.17,3764.77
241.0,88.27,2.74,71.38,4668.65
2041.0,55.15,3.67,66.32,3850.95
2824.0,66.72,0.63,91.98,3338.36
2612.0,53.78,3.46,57.19,3615.92
1363.0,87.66,0.55,71.51,4130.15
1478.0,63.62,4.83,95.19,3959.54
2556.0,94.87,2.49,92.29,3395.86
775.0,76.33,0.84,70.05,4451.22
4014.0,90.04,1.78,88.16,2704.37
34.0,98.95,2.13,91.16,4658.06
3152.0,91.99,3.82,94.44,3079.65
1955.0,93.35,3.74,77.23,3762.25
1585.0,70.4,3.1,60.22,4084.6
3943.0,77.59,0.62,62.77,2903.31
3073.0,62.69,0.84,64.78,3355.76
1021.0,59.81,0.56,79.69,4315.84
3461.0,75.28,2.93,51.64,3181.47
2613.0,79.75,4.4,81.8,3431.0
3843.0,66.96,2.23,68.22,2931.23
1500.0,78.47,0.89,64.76,4110.36
4798.0,94.37,2.83,93.97,2264.04
161.0,77.84,4.08,73.0,4708.05
4297.0,86.04,3.73,54.75,2718.31
1981.0,90.27,4.42,91.34,3678.09
995.0,99.44,1.46,52.38,4377.1
4911.0,80.16,1.05,86.34,2291.99
3342.0,90.34,4.41,88.7,3010.73
4551.0,98.13,3.32,67.63,2506.86
3798.0,97.22,1.62,91.24,2784.13
1275.0,57.05,3.74,75.78,4182.1
1016.0,70.32,4.09,73.16,4294.6
337.0,66.2,3.11,52.27,4756.62
878.0,54.35,3.47,64.5,4445.09
1076.0,81.66,1.94,96.55,4146.54
4887.0,86.8,2.74,69.59,2357.56
3993.0,92.41,2.67,77.34,2755.33
4859.0,56.14,4.26,76.6,2382.66
379.0,93.82,4.22,79.52,4533.09
492.0,82.15,4.18,53.07,4632.57
2062.0,85.2,0.15,68.11,3806.52
3884.0,95.53,3.77,86.16,2748.43
64.0,81.24,3.82,60.03,4817.21
2568.0,66.79,3.42,60.18,3597.28
2027.0,91.26,3.81,50.5,3863.41
2695.0,68.15,4.23,71.87,3464.57
1495.0,51.71,2.4,94.14,4004.35
391.0,91.53,2.56,52.6,4682.86
4514.0,67.26,0.71,59.56,2653.59
4474.0,88.69,1.99,65.5,2588.21
3561.0,68.14,3.25,86.59,2967.77
2278.0,93.05,3.92,82.03,3575.49
3099.0,60.98,1.16,70.8,3312.92
200.0,98.73,0.78,87.95,4605.02
4875.0,88.99,3.35,80.48,2298.63
3104.0,55.71,0.11,94.8,3211.47
4598.0,78.29,0.97,90.9,2430.18
2454.0,99.27,0.24,62.64,3608.84
3645.0,73.55,0.92,63.57,3053.36
804.0,59.11,0.99,56.27,4538.57
2731.0,74.24,2.0,66.85,3481.78
2773.0,75.62,2.07,99.98,3291.65
1570.0,87.08,4.38,70.29,3995.55
2690.0,84.94,2.6,61.02,3504.0
3840.0,70.13,3.64,88.12,2812.68
1028.0,60.9,0.61,77.12,4322.48
502.0,82.25,1.2,57.48,4635.05
4493.0,71.09,3.54,69.03,2580.71
870.0,56.61,0.36,70.72,4444.57
4488.0,95.03,2.48,87.69,2452.64
206.0,84.56,3.04,51.03,4792.34
1484.0,84.16,3.05,63.45,4091.92
863.0,91.13,0.21,75.88,4354.72
2790.0,76.48,1.68,63.44,3468.04
563.0,90.75,3.22,81.42,4447.7
4191.0,74.9,0.83,74.09,2725.92
1757.0,53.36,3.51,68.09,3989.28
1678.0,70.26,3.76,97.46,3845.62
3242.0,74.87,4.91,81.61,3122.1
4636.0,86.01,1.13,56.5,2566.21
1059.0,55.33,4.14,78.0,4278.39
1722.0,57.0,2.65,89.04,3903.32
3314.0,63.18,1.93,85.42,3120.21
3157.0,63.32,0.7,58.6,3344.83
2625.0,86.61,3.7,98.62,3334.14
2729.0,62.54,1.26,72.44,3485.67
1597.0,81.65,1.92,57.95,4079.23
3060.0,74.71,0.41,59.01,3371.46
2693.0,78.66,4.03,54.91,3531.34
4891.0,91.91,3.86,90.18,2231.25
3627.0,70.22,3.69,56.1,3078.61
1363.0,88.55,1.57,56.26,4194.45
1981.0,71.1,0.95,92.52,3745.18
1663.0,67.69,3.22,67.23,4014.72
1529.0,97.93,2.53,51.54,4106.61
2038.0,59.22,0.97,52.59,3939.85
3302.0,54.52,3.46,57.11,3269.81
2237.0,88.55,4.96,60.67,3701.49
1306.0,53.41,3.76,83.26,4136.27
4029.0,91.85,3.73,57.87,2825.2
2675.0,71.86,4.76,55.94,3541.5
1282.0,95.78,1.09,88.24,4065.32
709.0,86.08,2.87,83.55,4376.87
4744.0,80.52,4.9,71.77,2409.13
4413.0,97.47,0.91,77.47,2552.14
3748.0,69.83,3.53,65.6,2973.03
4779.0,97.7,2.97,74.13,2364.76
663.0,56.75,2.97,75.33,4498.59
1998.0,74.19,3.52,69.36,3820.63
3445.0,63.5,4.66,95.33,2977.31
3743.0,76.99,3.93,50.8,3031.15
1495.0,58.1,0.38,89.11,4037.01
3304.0,92.08,4.28,56.22,3189.97
3763.0,92.32,1.21,89.88,2822.42
1853.0,97.76,1.95,80.8,3804.53
4659.0,57.73,2.36,92.16,2420.59
1291.0,81.17,2.46,54.88,4243.22
3581.0,73.71,2.23,77.95,3000.01
3457.0,67.22,4.69,75.05,3064.86
1636.0,67.58,3.56,85.31,3934.7
3696.0,70.64,3.19,76.71,2945.22
2999.0,85.25,0.34,77.04,3291.38
3152.0,79.91,4.53,71.48,3211.48
698.0,72.98,4.56,65.44,4482.26
2160.0,53.8,3.92,74.11,3752.61
4097.0,53.89,0.13,55.92,2912.76
4737.0,50.12,0.38,98.08,2387.08
854.0,98.38,1.2,85.72,4285.59
3474.0,50.26,0.74,97.62,3016.92
1707.0,55.15,2.05,61.34,4058.97
2777.0,65.73,4.62,93.97,3314.0
1733.0,90.37,2.41,90.44,3826.43
4931.0,98.1,0.17,83.86,2267.35
3510.0,89.5,1.49,81.25,2994.89
202.0,84.53,0.32,65.83,4747.62
3255.0,76.07,0.28,90.82,3113.49
4218.0,54.34,1.45,75.08,2742.44
4496.0,97.91,1.45,53.54,2623.96
766.0,87.92,3.96,65.64,4423.38
